"","Age","Workclass","Fnlwgt","Education","Education.num","Marital.status","Occupation","Relationship","Race","Sex","Capital.gain","Capital.loss","Hours.per.week","Native.country","Above.Limit"
"1",39,8,77516,10,13,5,1,2,5,2,2174,0,40,39,1
"3",38,5,215646,12,9,1,6,2,5,2,0,0,40,39,1
"4",53,5,234721,2,7,3,6,1,3,2,0,0,40,39,1
"5",28,5,338409,10,13,3,10,6,3,1,0,0,40,5,1
"6",37,5,284582,13,14,3,4,6,5,1,0,0,40,39,1
"8",52,7,209642,12,9,3,4,1,5,2,0,0,45,39,2
"9",31,5,45781,13,14,5,10,2,5,1,14084,0,50,39,2
"10",42,5,159449,10,13,3,4,1,5,2,5178,0,40,39,2
"12",30,8,141297,10,13,3,10,1,2,2,0,0,40,19,2
"13",23,5,122272,10,13,5,1,4,5,1,0,0,30,39,1
"14",32,5,205019,8,12,5,12,2,3,2,0,0,50,39,1
"15",40,5,121772,9,11,3,3,1,2,2,0,0,40,39,2
"16",34,5,245487,6,4,3,14,1,1,2,0,0,45,26,1
"17",25,7,176756,12,9,5,5,4,5,2,0,0,35,39,1
"18",32,5,186824,12,9,5,7,5,5,2,0,0,40,39,1
"19",38,5,28887,2,7,3,12,1,5,2,0,0,50,39,1
"20",43,7,292175,13,14,1,4,5,5,1,0,0,45,39,2
"21",40,5,193524,11,16,3,10,1,5,2,0,0,60,39,2
"22",54,5,302146,12,9,6,8,5,3,1,0,0,20,39,1
"23",35,2,76845,7,5,3,5,1,3,2,0,0,40,39,1
"24",43,5,117037,2,7,3,14,1,5,2,0,2042,40,39,1
"25",59,5,109015,12,9,1,13,5,5,1,0,0,40,39,1
"26",56,3,216851,10,13,3,13,1,5,2,0,0,40,39,2
"27",19,5,168294,12,9,5,3,4,5,2,0,0,40,39,1
"28",54,1,180211,16,10,3,3,1,2,2,0,0,60,35,2
"30",49,5,193366,12,9,3,3,1,5,2,0,0,40,39,1
"31",23,3,190709,8,12,5,11,2,5,2,0,0,52,39,1
"32",20,5,266015,16,10,5,12,4,3,2,0,0,44,39,1
"33",45,5,386940,10,13,1,4,4,5,2,0,1408,40,39,1
"34",30,2,59951,16,10,3,1,4,5,2,0,0,40,39,1
"36",48,5,242406,2,7,5,7,5,5,2,0,0,40,33,1
"37",21,5,197200,16,10,5,7,4,5,2,0,0,40,39,1
"38",19,5,544091,12,9,2,1,6,5,1,0,0,25,39,1
"39",31,5,84154,16,10,3,12,1,5,2,0,0,38,39,2
"40",48,7,265477,8,12,3,10,1,5,2,0,0,40,39,1
"41",31,5,507875,7,5,3,7,1,5,2,0,0,43,39,1
"42",53,7,88506,10,13,3,10,1,5,2,0,0,40,39,1
"43",24,5,172987,10,13,3,13,1,5,2,0,0,50,39,1
"44",49,5,94638,12,9,6,1,5,5,1,0,0,40,39,1
"45",25,5,289980,12,9,5,6,2,5,2,0,0,35,39,1
